CPH,EKCH,04JUN22,06:49,(UTC),04JUN22,08:49,(LT),NAP,LIRN,04JUN22,09:21,(UTC),04JUN22,11:21,(LT),OY-KAT,A20N,02:32
NAP,LIRN,04JUN22,10:34,(UTC),04JUN22,12:34,(LT),CPH,EKCH,04JUN22,13:17,(UTC),04JUN22,15:17,(LT),OY-KAT,A20N,02:43
CPH,EKCH,05JUN22,06:35,(UTC),05JUN22,08:35,(LT),FCO,LIRF,05JUN22,08:53,(UTC),05JUN22,10:53,(LT),EI-SIC,A20N,02:18
FCO,LIRF,05JUN22,09:54,(UTC),05JUN22,11:54,(LT),CPH,EKCH,05JUN22,12:31,(UTC),05JUN22,14:31,(LT),EI-SIC,A20N,02:37
CPH,EKCH,10JUN22,15:53,(UTC),10JUN22,17:53,(LT),MAN,EGCC,10JUN22,17:41,(UTC),10JUN22,18:41,(LT),EI-SIF,A20N,01:48
MAN,EGCC,10JUN22,18:14,(UTC),10JUN22,19:14,(LT),CPH,EKCH,10JUN22,19:50,(UTC),10JUN22,21:50,(LT),EI-SIF,A20N,01:36
CPH,EKCH,10JUN22,21:20,(UTC),10JUN22,23:20,(LT),ARN,ESSA,10JUN22,22:36,(UTC),11JUN22,00:36,(LT),EI-SIM,A20N,01:16
CPH,EKCH,11JUN22,14:02,(UTC),11JUN22,16:02,(LT),MXP,LIMC,11JUN22,16:05,(UTC),11JUN22,18:05,(LT),EI-SIK,A320,02:03
MXP,LIMC,11JUN22,17:00,(UTC),11JUN22,19:00,(LT),CPH,EKCH,11JUN22,18:56,(UTC),11JUN22,20:56,(LT),EI-SIK,A320,01:56
CPH,EKCH,12JUN22,14:04,(UTC),12JUN22,16:04,(LT),AGP,LEMG,12JUN22,17:52,(UTC),12JUN22,19:52,(LT),EI-SIE,A20N,03:48
AGP,LEMG,12JUN22,18:53,(UTC),12JUN22,20:53,(LT),CPH,EKCH,12JUN22,22:13,(UTC),13JUN22,00:13,(LT),EI-SIE,A20N,03:20
CPH,EKCH,20JUN22,05:50,(UTC),20JUN22,07:50,(LT),LHR,EGLL,20JUN22,07:55,(UTC),20JUN22,08:55,(LT),EI-SIM,A20N,02:05
LHR,EGLL,20JUN22,08:56,(UTC),20JUN22,09:56,(LT),CPH,EKCH,20JUN22,10:33,(UTC),20JUN22,12:33,(LT),EI-SIM,A20N,01:37
CPH,EKCH,21JUN22,08:02,(UTC),21JUN22,10:02,(LT),FCO,LIRF,21JUN22,10:28,(UTC),21JUN22,12:28,(LT),EI-SIM,A320,02:26
FCO,LIRF,21JUN22,11:26,(UTC),21JUN22,13:26,(LT),CPH,EKCH,21JUN22,13:57,(UTC),21JUN22,15:57,(LT),EI-SIM,A320,02:31
CPH,EKCH,22JUN22,03:46,(UTC),22JUN22,05:46,(LT),PMI,LEPA,22JUN22,06:57,(UTC),22JUN22,08:57,(LT),EI-SII,A20N,03:11
PMI,LEPA,22JUN22,08:21,(UTC),22JUN22,10:21,(LT),CPH,EKCH,22JUN22,11:23,(UTC),22JUN22,13:23,(LT),EI-SII,A20N,03:02
CPH,EKCH,23JUN22,06:47,(UTC),23JUN22,08:47,(LT),CDG,LFPG,23JUN22,08:40,(UTC),23JUN22,10:40,(LT),OY-KAU,A320,01:53
CDG,LFPG,23JUN22,09:15,(UTC),23JUN22,11:15,(LT),CPH,EKCH,23JUN22,11:07,(UTC),23JUN22,13:07,(LT),OY-KAU,A320,01:52
CPH,EKCH,23JUN22,11:44,(UTC),23JUN22,13:44,(LT),GDN,EPGD,23JUN22,12:34,(UTC),23JUN22,14:34,(LT),OY-KAU,A320,00:50
GDN,EPGD,24JUN22,04:11,(UTC),24JUN22,06:11,(LT),CPH,EKCH,24JUN22,05:03,(UTC),24JUN22,07:03,(LT),OY-KAO,A320,00:52
CPH,EKCH,24JUN22,06:13,(UTC),24JUN22,08:13,(LT),LHR,EGLL,24JUN22,08:14,(UTC),24JUN22,09:14,(LT),OY-KAO,A20N,02:01
LHR,EGLL,24JUN22,09:07,(UTC),24JUN22,10:07,(LT),CPH,EKCH,24JUN22,10:47,(UTC),24JUN22,12:47,(LT),OY-KAO,A20N,01:40
CPH,EKCH,29JUN22,09:17,(UTC),29JUN22,11:17,(LT),ATH,LGAV,29JUN22,12:29,(UTC),29JUN22,15:29,(LT),OY-KAW,A20N,03:12
ATH,LGAV,29JUN22,13:30,(UTC),29JUN22,16:30,(LT),CPH,EKCH,29JUN22,16:47,(UTC),29JUN22,18:47,(LT),OY-KAW,A20N,03:17
CPH,EKCH,30JUN22,09:18,(UTC),30JUN22,11:18,(LT),ATH,LGAV,30JUN22,12:24,(UTC),30JUN22,15:24,(LT),EI-SIJ,A20N,03:06
ATH,LGAV,30JUN22,13:22,(UTC),30JUN22,16:22,(LT),CPH,EKCH,30JUN22,16:35,(UTC),30JUN22,18:35,(LT),EI-SIJ,A20N,03:13
CPH,EKCH,01JUL22,13:37,(UTC),01JUL22,15:37,(LT),AGP,LEMG,01JUL22,17:39,(UTC),01JUL22,19:39,(LT),OY-KAW,A320,04:02
AGP,LEMG,01JUL22,19:02,(UTC),01JUL22,21:02,(LT),CPH,EKCH,01JUL22,22:29,(UTC),02JUL22,00:29,(LT),OY-KAW,A320,03:27
CPH,EKCH,02JUL22,12:55,(UTC),02JUL22,14:55,(LT),PMI,LEPA,02JUL22,16:09,(UTC),02JUL22,18:09,(LT),OY-KAO,A320,03:14
